country,code,Age,Number_of_deaths,Continent
Afghanistan,AFG,5<,1185,Asia
Albania,ALB,5<,0,Europe
Algeria,DZA,5<,1158,Africa
American Samoa,ASM,5<,0,Oceania
Andorra,AND,5<,0,Europe
Angola,AGO,5<,36374,Africa
Antigua and Barbuda,ATG,5<,0,North America
Argentina,ARG,5<,554,South America
Armenia,ARM,5<,0,Europe
Australia,AUS,5<,37,Oceania
Austria,AUT,5<,19,Europe
Azerbaijan,AZE,5<,59,Europe
Bahamas,BHS,5<,46,North America
Bahrain,BHR,5<,10,Asia
Bangladesh,BGD,5<,722,Asia
Barbados,BRB,5<,1,North America
Belarus,BLR,5<,59,Europe
Belgium,BEL,5<,64,Europe
Belize,BLZ,5<,60,North America
Benin,BEN,5<,18184,Africa
Bermuda,BMU,5<,0,North America
Bhutan,BTN,5<,66,Asia
Bolivia,BOL,5<,2781,South America
Bosnia and Herzegovina,BIH,5<,0,Europe
Botswana,BWA,5<,16794,Africa
Brazil,BRA,5<,19789,South America
Brunei,BRN,5<,0,Asia
Bulgaria,BGR,5<,38,Europe
Burkina Faso,BFA,5<,47882,Africa
Burundi,BDI,5<,42679,Africa
Cambodia,KHM,5<,9471,Asia
Cameroon,CMR,5<,93542,Africa
Canada,CAN,5<,57,North America
Cape Verde,CPV,5<,362,Africa
Central African Republic,CAF,5<,34144,Africa
Chad,TCD,5<,24583,Africa
Chile,CHL,5<,91,South America
China,CHN,5<,18397,Asia
Colombia,COL,5<,1265,South America
Comoros,COM,5<,0,Africa
Congo,COG,5<,28130,Africa
Costa Rica,CRI,5<,151,North America
Cote d'Ivoire,CIV,5<,153633,Africa
Croatia,HRV,5<,3,Europe
Cuba,CUB,5<,38,North America
Cyprus,CYP,5<,0,Europe
Czechia,CZE,5<,12,Europe
Democratic Republic of Congo,COD,5<,131653,Africa
Denmark,DNK,5<,6,Europe
Djibouti,DJI,5<,2077,Africa
Dominica,DMA,5<,0,North America
Dominican Republic,DOM,5<,3756,North America
Ecuador,ECU,5<,753,South America
Egypt,EGY,5<,564,Africa
El Salvador,SLV,5<,1615,North America
Equatorial Guinea,GNQ,5<,4673,Africa
Eritrea,ERI,5<,10003,Africa
Estonia,EST,5<,0,Europe
Eswatini,SWZ,5<,18589,Africa
Ethiopia,ETH,5<,313914,Africa
Fiji,FJI,5<,46,Oceania
Finland,FIN,5<,9,Europe
France,FRA,5<,356,Europe
Gabon,GAB,5<,5103,Africa
Gambia,GMB,5<,2567,Africa
Georgia,GEO,5<,8,Europe
Germany,DEU,5<,309,Europe
Ghana,GHA,5<,60136,Africa
Greece,GRC,5<,20,Europe
Greenland,GRL,5<,0,North America
Grenada,GRD,5<,0,North America
Guam,GUM,5<,14,Oceania
Guatemala,GTM,5<,1311,North America
Guinea,GIN,5<,13039,Africa
Guinea-Bissau,GNB,5<,4532,Africa
Guyana,GUY,5<,156,South America
Haiti,HTI,5<,39054,North America
Honduras,HND,5<,324,North America
Hungary,HUN,5<,26,Europe
Iceland,ISL,5<,0,Europe
India,IND,5<,133076,Asia
Indonesia,IDN,5<,12683,Asia
Iran,IRN,5<,1635,Asia
Iraq,IRQ,5<,474,Asia
Ireland,IRL,5<,6,Europe
Israel,ISR,5<,85,Asia
Italy,ITA,5<,214,Europe
Jamaica,JAM,5<,339,North America
Japan,JPN,5<,214,Asia
Jordan,JOR,5<,105,Asia
Kazakhstan,KAZ,5<,109,Asia
Kenya,KEN,5<,349255,Africa
Kiribati,KIR,5<,3,Oceania
Kuwait,KWT,5<,8,Asia
Kyrgyzstan,KGZ,5<,356,Asia
Laos,LAO,5<,848,Asia
Latvia,LVA,5<,26,Europe
Lebanon,LBN,5<,384,Asia
Lesotho,LSO,5<,28194,Africa
Liberia,LBR,5<,4694,Africa
Libya,LBY,5<,193,Africa
