Country,Code,Year,Incidence - HIV/AIDS - Sex: Both - Age: All Ages (Number),Pop,Infected_percent_pop
Afghanistan,AFG,1990,88,12412311,0.000708974
Albania,ALB,1990,3,3286542,9.12814E-05
Algeria,DZA,1990,124,25758872,0.000481388
American Samoa,ASM,1990,1,47351,0.002111888
Andorra,AND,1990,5,54508,0.009172965
Angola,AGO,1990,2769,11848385,0.023370274
Antigua and Barbuda,ATG,1990,16,62533,0.02558649
Argentina,ARG,1990,5157,32618648,0.015809975
Armenia,ARM,1990,2,3538164,5.65265E-05
Australia,AUS,1990,1159,17065100,0.006791639
Austria,AUT,1990,640,7677850,0.008335667
Azerbaijan,AZE,1990,58,7175200,0.00080834
Bahamas,BHS,1990,308,256227,0.120205911
Bahrain,BHR,1990,13,495927,0.002621354
Bangladesh,BGD,1990,0,103171957,0
Barbados,BRB,1990,88,260933,0.033725133
Belarus,BLR,1990,261,10189348,0.002561499
Belgium,BEL,1990,822,9967379,0.008246902
Belize,BLZ,1990,58,187554,0.030924427
Benin,BEN,1990,1916,4978489,0.038485573
Bermuda,BMU,1990,25,59326,0.04214004
Bhutan,BTN,1990,25,530801,0.004709863
Bolivia,BOL,1990,768,6864839,0.011187444
Bosnia and Herzegovina,BIH,1990,6,4463422,0.000134426
Botswana,BWA,1990,18016,1286756,1.400110044
Brazil,BRA,1990,26948,149003225,0.018085515
Brunei,BRN,1990,5,258714,0.001932636
Bulgaria,BGR,1990,101,8718289,0.001158484
Burkina Faso,BFA,1990,30554,8811033,0.346769783
Burundi,BDI,1990,38694,5438959,0.711422903
Cambodia,KHM,1990,1007,8975597,0.011219309
Cameroon,CMR,1990,15938,11780086,0.135296126
Canada,CAN,1990,2794,27691138,0.010089871
Cape Verde,CPV,1990,254,337953,0.07515838
Central African Republic,CAF,1990,36161,2806740,1.288363012
Chad,TCD,1990,6859,5963250,0.115021171
Chile,CHL,1990,835,13274617,0.0062902
China,CHN,1990,9674,1135185000,0.000852196
Colombia,COL,1990,2040,33102569,0.006162664
Comoros,COM,1990,0,411598,0
Congo,COG,1990,13356,2356740,0.566715039
Costa Rica,CRI,1990,194,3119436,0.006219073
Cote d'Ivoire,CIV,1990,97277,11924873,0.81574873
Croatia,HRV,1990,37,4777368,0.000774485
Cuba,CUB,1990,200,10596986,0.001887329
Cyprus,CYP,1990,4,766616,0.000521774
Czechia,CZE,1990,20,10333355,0.000193548
