Country,Code,Year,HIV Infection,Pop,Percentage_Infection
Afghanistan,AFG,2016,718,35383028,0.002029221
Albania,ALB,2016,3,2876101,0.000104308
Algeria,DZA,2016,633,40551398,0.001560982
American Samoa,ASM,2016,1,55739,0.001794076
Andorra,AND,2016,7,77295,0.009056213
Angola,AGO,2016,38199,28842482,0.132440058
Antigua and Barbuda,ATG,2016,26,94520,0.027507406
Argentina,ARG,2016,10449,43590368,0.023970892
Armenia,ARM,2016,125,2936147,0.00425728
Australia,AUS,2016,1351,24190907,0.005584743
Austria,AUT,2016,662,8736668,0.007577259
Azerbaijan,AZE,2016,294,9757812,0.003012971
Bahamas,BHS,2016,262,377923,0.069326291
Bahrain,BHR,2016,15,1425793,0.001052046
Bangladesh,BGD,2016,634,157977151,0.000401324
Barbados,BRB,2016,70,285798,0.024492824
Belarus,BLR,2016,1881,9469379,0.019864027
Belgium,BEL,2016,956,11331422,0.008436717
Belize,BLZ,2016,196,368399,0.053203185
Benin,BEN,2016,3684,10872072,0.033884985
Bermuda,BMU,2016,15,64554,0.02323636
Bhutan,BTN,2016,76,736706,0.010316191
Bolivia,BOL,2016,1561,11031822,0.014149975
Bosnia and Herzegovina,BIH,2016,10,3386263,0.000295311
Botswana,BWA,2016,11052,2159925,0.511684433
Brazil,BRA,2016,65087,206163056,0.031570642
Brunei,BRN,2016,40,419791,0.009528551
Bulgaria,BGR,2016,144,7127822,0.002020252
Burkina Faso,BFA,2016,3706,18646350,0.019875203
Burundi,BDI,2016,2441,10488002,0.023274214
Cambodia,KHM,2016,1176,15766290,0.007458952
Cameroon,CMR,2016,36018,23926549,0.150535708
Canada,CAN,2016,3364,36109487,0.009316111
Cape Verde,CPV,2016,153,531140,0.028805965
Central African Republic,CAF,2016,7658,4537683,0.168764543
Chad,TCD,2016,9689,14561658,0.066537753
Chile,CHL,2016,3370,18209072,0.018507258
China,CHN,2016,31793,1387790000,0.002290909
Colombia,COL,2016,8212,48175048,0.017046169
Comoros,COM,2016,12,795597,0.001508301
Congo,COG,2016,6846,4980996,0.137442391
Costa Rica,CRI,2016,387,4899336,0.00789903
Cote d'Ivoire,CIV,2016,20131,23822726,0.084503344
Croatia,HRV,2016,43,4174349,0.001030101
Cuba,CUB,2016,2090,11335108,0.018438289
Cyprus,CYP,2016,12,1170189,0.001025475
Czechia,CZE,2016,94,10566332,0.000889618
Democratic Republic of Congo,COD,2016,19583,78789130,0.024854951
Denmark,DNK,2016,235,5728010,0.004102646
Djibouti,DJI,2016,927,929117,0.099772149
Dominica,DMA,2016,19,71307,0.02664535
Dominican Republic,DOM,2016,3382,10397738,0.032526305
Ecuador,ECU,2016,3163,16491116,0.019180024
Egypt,EGY,2016,433,94447071,0.000458458
El Salvador,SLV,2016,1149,6356137,0.018077018
Equatorial Guinea,GNQ,2016,7107,1215181,0.584851146
Estonia,EST,2016,177,1315790,0.013451995
Eswatini,SWZ,2016,8680,1113994,0.779178344
Ethiopia,ETH,2016,33104,103603461,0.031952601
Fiji,FJI,2016,42,872406,0.004814272
Finland,FIN,2016,59,5495303,0.001073644
France,FRA,2016,2557,66724104,0.003832198
Gabon,GAB,2016,2765,2007882,0.137707296
Gambia,GMB,2016,2218,2149134,0.10320436
Georgia,GEO,2016,318,3727505,0.008531176
Germany,DEU,2016,2137,82348669,0.002595063
Ghana,GHA,2016,19113,28481947,0.067105665
Greece,GRC,2016,158,10775971,0.001466225
Greenland,GRL,2016,10,56186,0.017798028
Grenada,GRD,2016,21,110263,0.019045373
Guam,GUM,2016,13,162948,0.007978005
Guatemala,GTM,2016,1982,15827690,0.012522358
