country,Code,year,Incidence - HIV/AIDS - Sex: Both - Age: All Ages (Number),Pop,Infected_percent_pop
Botswana,BWA,1994,34764,1434061,2.424164662
Eswatini,SWZ,1999,23934,994105,2.407592759
Eswatini,SWZ,1998,23456,979922,2.393659904
Eswatini,SWZ,2000,23784,1005432,2.365550331
Botswana,BWA,1995,34747,1469173,2.365072051
Botswana,BWA,1993,33045,1399110,2.36185861
Eswatini,SWZ,1997,22219,963416,2.30627268
Botswana,BWA,1996,33594,1504724,2.232568896
Zimbabwe,ZWE,1994,247478,11261752,2.197508878
Zimbabwe,ZWE,1993,238836,11092775,2.153077116
Botswana,BWA,1992,29343,1363541,2.151970494
Eswatini,SWZ,1996,20157,945506,2.131874361
Zimbabwe,ZWE,1995,242134,11410721,2.121986858
Botswana,BWA,1997,31888,1540424,2.070079407
Lesotho,LSO,1997,39395,1968054,2.00172353
Lesotho,LSO,1998,39555,1997524,1.980201489
Zimbabwe,ZWE,1992,215082,10900511,1.973136856
Zimbabwe,ZWE,1996,226948,11541215,1.966413415
Lesotho,LSO,1996,37911,1934294,1.959939906
Lesotho,LSO,1999,38813,2019732,1.921690601
Botswana,BWA,1998,30013,1575827,1.904587242
Eswatini,SWZ,1995,17274,926836,1.863760147
Lesotho,LSO,2000,37531,2032805,1.846266612
Lesotho,LSO,1995,34797,1898598,1.832773447
Botswana,BWA,1991,24022,1326321,1.811175424
Zimbabwe,ZWE,1997,206866,11653254,1.775177989
Botswana,BWA,1999,28098,1610260,1.7449356
Zimbabwe,ZWE,1991,179390,10681008,1.679523131
Lesotho,LSO,1994,30093,1861323,1.616753245
Botswana,BWA,2000,26228,1643333,1.596024665
Zimbabwe,ZWE,1998,186117,11747079,1.584368335
South Africa,ZAF,1998,660547,43682259,1.512163096
South Africa,ZAF,1999,668406,44338551,1.507505286
Eswatini,SWZ,1994,13615,907622,1.500073819
South Africa,ZAF,2000,659974,44967713,1.46766192
South Africa,ZAF,1997,625639,42987456,1.455398989
Zimbabwe,ZWE,1999,167379,11822722,1.415739962
Botswana,BWA,1990,18016,1286756,1.400110044
Zambia,ZMB,1992,115616,8451346,1.368018775
Namibia,NAM,1997,23199,1698029,1.366231083
Zambia,ZMB,1991,111883,8246662,1.356706507
Namibia,NAM,1998,23249,1731635,1.342603955
Malawi,MWI,1993,129565,9710335,1.334300001
Lesotho,LSO,1993,24309,1822237,1.334019669
Namibia,NAM,1996,22120,1663378,1.329824009
Zambia,ZMB,1993,114620,8656484,1.32409417
Zimbabwe,ZWE,1990,138045,10432409,1.323232247
Malawi,MWI,1992,128109,9685974,1.322623827
South Africa,ZAF,1996,558611,42241007,1.322437697
Malawi,MWI,1994,126021,9745695,1.293094028
Central African Republic,CAF,1990,36161,2806740,1.288363012
Namibia,NAM,1999,22580,1763861,1.280146225
Zimbabwe,ZWE,2000,151677,11881482,1.276583174
Zambia,ZMB,1990,102164,8036849,1.271194718
Malawi,MWI,1991,121814,9600361,1.268848119
Zambia,ZMB,1994,111131,8869745,1.252922153
Namibia,NAM,1995,19907,1627866,1.222889353
Malawi,MWI,1995,119892,9844418,1.217867831
Namibia,NAM,2000,21527,1794583,1.199554437
Zambia,ZMB,1995,106808,9096608,1.174151948
Kenya,KEN,1992,294271,25326080,1.161928731
Malawi,MWI,1990,109255,9404499,1.16173121
Kenya,KEN,1991,282205,24521714,1.150837172
Malawi,MWI,1996,114590,10022783,1.14329523
Central African Republic,CAF,1991,32837,2878507,1.140764987
South Africa,ZAF,1995,465197,41435761,1.122694476
Kenya,KEN,1993,287546,26136217,1.100182173
Zambia,ZMB,1996,102489,9339740,1.097343181
Malawi,MWI,1997,109939,10264906,1.071018088
Eswatini,SWZ,1993,9471,887706,1.066907287
Namibia,NAM,1994,16740,1591826,1.051622476
Kenya,KEN,1990,248114,23724574,1.045810138
Zambia,ZMB,1997,98570,9597610,1.02702652
Lesotho,LSO,1992,18282,1782284,1.025762449
Kenya,KEN,1994,269843,26950508,1.001253854
Malawi,MWI,1998,105356,10552345,0.998413149
Zambia,ZMB,1998,95139,9866474,0.964265451
Malawi,MWI,1999,101039,10854325,0.930863964
Cote d'Ivoire,CIV,1992,118830,12812428,0.92745887
Zambia,ZMB,1999,92234,10140564,0.909554932
Cote d'Ivoire,CIV,1991,111565,12362404,0.902453924
Central African Republic,CAF,1992,26515,2959236,0.896008294
Kenya,KEN,1995,248612,27768297,0.895308776
Cote d'Ivoire,CIV,1993,118782,13271638,0.895006329
South Africa,ZAF,1994,358657,40564061,0.884174294
Tanzania,TZA,1990,220792,25203848,0.876024963
Malawi,MWI,2000,96972,11148751,0.869801469
Zambia,ZMB,2000,89782,10415942,0.861967165
Tanzania,TZA,1991,221659,26056605,0.850682581
Namibia,NAM,1993,13080,1555098,0.841104548
Cote d'Ivoire,CIV,1994,112940,13735438,0.822252629
Cote d'Ivoire,CIV,1990,97277,11924873,0.81574873
Tanzania,TZA,1992,215782,26961204,0.800342596
Kenya,KEN,1996,228340,28589456,0.798686061
Mozambique,MOZ,2000,138568,17711925,0.782342969
Uganda,UGA,1990,134764,17354395,0.776541043
Mozambique,MOZ,1999,132571,17244176,0.768787097
Mozambique,MOZ,1998,124953,16813946,0.743150953
Tanzania,TZA,1993,206990,27887204,0.742240061
Lesotho,LSO,1991,12832,1742534,0.736398831
Uganda,UGA,1991,131573,17953534,0.73285293
Cote d'Ivoire,CIV,1995,103919,14199759,0.731836364
Central African Republic,CAF,1993,21884,3046148,0.71841552
Kenya,KEN,1997,210730,29415660,0.716387122
Burundi,BDI,1990,38694,5438959,0.711422903
Burundi,BDI,1991,39230,5564923,0.704951353
Mozambique,MOZ,1997,115522,16397175,0.704523798
Uganda,UGA,1992,129421,18561668,0.69724876
Tanzania,TZA,1994,197525,28792649,0.686025798
Uganda,UGA,1993,127716,19175986,0.666020511
Burundi,BDI,1992,37169,5685569,0.653742836
Mozambique,MOZ,1996,104271,15960445,0.653308852
Kenya,KEN,1998,195999,30250488,0.647920126
South Africa,ZAF,1993,255652,39633754,0.645036047
Eswatini,SWZ,1992,5578,866995,0.643371646
Cote d'Ivoire,CIV,1996,94098,14665125,0.641644718
Uganda,UGA,1994,126226,19793541,0.63771308
Tanzania,TZA,1995,188459,29649128,0.635630835
Namibia,NAM,1992,9497,1516951,0.626058455
Uganda,UGA,1995,124878,20413157,0.611752508
Central African Republic,CAF,1994,19148,3135017,0.610778187
Tanzania,TZA,1996,180094,30444523,0.591548109
Kenya,KEN,1999,183776,31098763,0.590943119
Mozambique,MOZ,1995,91238,15483277,0.589268021
Uganda,UGA,1996,123637,21032817,0.58782901
