Country,Code,Under 5,70+,5 to 14,15-49,50-69
Afghanistan,AFG,0.003114998,0.00018138,0.00019978,0.006532296,0.001217084
Albania,ALB,0,0,0,0.001051086,0.000560579
Algeria,DZA,0.002689705,0.000336794,0.000229949,0.008145764,0.002771
American Samoa,ASM,0,0,0,0,0
Andorra,AND,0,0,0,0.060923444,0.036294818
Angola,AGO,0.11429272,0.00717668,0.023811245,0.521305393,0.101227643
Antigua and Barbuda,ATG,0,0,0,0.190495804,0.060752716
Argentina,ARG,0.00123279,0.001103725,0.0011015,0.084735406,0.020011699
Armenia,ARM,0,0,0,0.007133854,0.001724296
Australia,AUS,0.000145866,0.000283847,0.000161635,0.017318632,0.006031757
Austria,AUT,0.000213966,0.000394148,9.00909E-05,0.016621771,0.00512392
Azerbaijan,AZE,0.000588571,0,0,0.009566769,0.001167166
Bahamas,BHS,0.011810437,0.013350929,0.0094997,0.998238704,0.210020386
Bahrain,BHR,0.000609324,0,0,0.012491134,0.003595009
Bangladesh,BGD,0.000442819,5.70391E-05,5.15191E-05,0.001756558,0.00040602
Barbados,BRB,0.000348407,0.015329889,0,0.305552555,0.08814686
Belarus,BLR,0.000626343,0,0.000191088,0.067666282,0.009649929
Belgium,BEL,0.000557056,0.000591872,0.000374272,0.015205876,0.009382904
Belize,BLZ,0.015370782,0.007173031,0.007941571,0.374278534,0.067887619
Benin,BEN,0.154086665,0.008482223,0.029090383,0.415035788,0.078721135
Bermuda,BMU,0,0.004694028,0,0.328581934,0.140820829
Bhutan,BTN,0.008649,0.001310455,0.000393136,0.055825364,0.0129735
Bolivia,BOL,0.024155089,0.002874985,0.002466755,0.104645994,0.024198517
Bosnia and Herzegovina,BIH,0,0,0,0.001393518,0.001211755
Botswana,BWA,0.729000223,0.168467897,0.145591684,8.675771139,1.711201487
Brazil,BRA,0.009376472,0.001963994,0.003397781,0.159844003,0.037565118
Brunei,BRN,0,0,0,0.014539714,0.004846571
Bulgaria,BGR,0.000544743,0,4.30061E-05,0.015267151,0.010264113
Burkina Faso,BFA,0.235623727,0.026700939,0.062845132,1.053373188,0.262324666
Burundi,BDI,0.370137592,0.036303474,0.100229156,1.804593127,0.402347602
Cambodia,KHM,0.057446856,0.010147671,0.016310273,0.459301896,0.090552646
Cameroon,CMR,0.361495598,0.038200851,0.074264618,1.989018019,0.40970171
Canada,CAN,0.000151591,0.00041488,0.000234035,0.034889816,0.009983716
Cape Verde,CPV,0.065825842,0.013456111,0.017092898,0.364042361,0.081827704
Central African Republic,CAF,0.719551359,0.060882846,0.138962092,4.093438836,0.873328488
Chad,TCD,0.154155527,0.012403679,0.029736221,0.551468306,0.114398539
Chile,CHL,0.00048016,0.001134443,0.000221612,0.050305943,0.014673886
China,CHN,0.001306842,0.002348792,0.000242302,0.0188147,0.008096495
Colombia,COL,0.00251294,0.001756078,0.000921742,0.09272252,0.026061075
Comoros,COM,0,0,0,0.001880382,0
Congo,COG,0.522813476,0.042969952,0.128185018,2.374238547,0.486683032
Costa Rica,CRI,0.002991544,0.001069824,0.002793428,0.063496013,0.01931626
Cote d'Ivoire,CIV,0.597408969,0.042276271,0.119638891,2.819316305,0.555338791
Croatia,HRV,7.37961E-05,0,0,0.004107985,0.002730457
Cuba,CUB,0.00033529,0.000617639,0.000379407,0.038928894,0.011708668
Cyprus,CYP,0,0.000417162,0,0.003504164,0.002753272
Czechia,CZE,0.000112445,9.37043E-05,0,0.001845975,0.001218156
Democratic Republic of Congo,COD,0.151690446,0.014980891,0.039389073,0.78349758,0.169926299
Denmark,DNK,0.000103192,0.000584753,5.15958E-05,0.016269889,0.008410122
Djibouti,DJI,0.213341386,0.019002483,0.032561011,1.491438098,0.298595768
Dominica,DMA,0,0,0,0.197749554,0.045955882
Dominican Republic,DOM,0.034975464,0.013921277,0.004777,0.475111317,0.115039105
Ecuador,ECU,0.004334148,0.00143896,0.001680705,0.094125261,0.017089091
Egypt,EGY,0.00056182,4.4826E-05,5.57835E-05,0.001555962,0.000556839
El Salvador,SLV,0.025024986,0.010288911,0.002618714,0.17278862,0.052684182
Equatorial Guinea,GNQ,0.344621094,0.026180289,0.088128013,1.579445745,0.279797224
Eritrea,ERI,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Estonia,EST,0,0,0,0.046350204,0.005200267
Eswatini,SWZ,1.619063297,0.167576404,0.225757817,9.636514237,1.785594526
Ethiopia,ETH,0.280083481,0.018909922,0.064335135,1.028866076,0.203498029
Fiji,FJI,0.005168801,0,0.000561826,0.023147238,0.003146226
Finland,FIN,0.000162996,0,9.05534E-05,0.003060704,0.002825265
France,FRA,0.000529376,0.000532351,0.00047287,0.0555652,0.017632995
Gabon,GAB,0.234882246,0.03557985,0.030148515,1.36483017,0.314142921
Gambia,GMB,0.109341244,0.016271272,0.018528804,0.701027731,0.131490619
Georgia,GEO,0.000215044,0,0,0.007311512,0.002177325
Germany,DEU,0.000371873,0.000622195,0.000274391,0.022484455,0.010402806
Ghana,GHA,0.197699654,0.022427615,0.048175647,1.111876451,0.242101203
Greece,GRC,0.00018654,8.39428E-05,7.46159E-05,0.006734081,0.002210495
Greenland,GRL,0,0,0,0.08181414,0.053357048
Grenada,GRD,0,0,0,0.132140497,0.047320584
Guam,GUM,0.008368451,0,0,0.05977465,0.020921127
Guatemala,GTM,0.007895675,0.000782943,0.002920978,0.072500489,0.018959257
Guinea,GIN,0.102096538,0.015965553,0.022206134,0.510968155,0.119408866
Guinea-Bissau,GNB,0.235928986,0.017387529,0.065853965,1.026332736,0.196624841
Guyana,GUY,0.019929098,0.00804829,0.011369806,0.684360129,0.130688895
Haiti,HTI,0.34674355,0.041480664,0.077696339,1.783073705,0.420719769
Honduras,HND,0.003324402,0.000297554,0.000872142,0.027292926,0.006546198
Hungary,HUN,0.00026609,0,0.000143279,0.017776839,0.018298784
Iceland,ISL,0,0,0,0.01164845,0.001109376
India,IND,0.009739042,0.000420662,0.002105066,0.14887387,0.018482049
Indonesia,IDN,0.004686549,0.000215427,0.000415704,0.020339172,0.002048587
Iran,IRN,0.001971925,0.000324433,8.32189E-05,0.010477134,0.002447117
Iraq,IRQ,0.001205807,2.5439E-06,0.000119563,0.002045292,0.00030018
Ireland,IRL,0.000121597,0,6.07984E-05,0.008511777,0.001499694
Israel,ISR,0.000938812,0.000552242,0.000353435,0.007388999,0.003777336
Italy,ITA,0.000358284,0.000765121,0.000308058,0.065221161,0.013176161
Jamaica,JAM,0.011498241,0.006207015,0.009056137,0.337281741,0.099481833
Japan,JPN,0.000168992,0.000106607,4.81707E-05,0.001121351,0.002612273
Jordan,JOR,0.001039429,9.89933E-06,6.92953E-05,0.002217449,0.000564262
Kazakhstan,KAZ,0.000588754,0,0.000167444,0.037761281,0.002630488
Kenya,KEN,0.664311673,0.065842473,0.144274827,3.316331446,0.723337084
Kiribati,KIR,0.002550847,0,0,0.022957622,0
Kuwait,KWT,0.000190156,0,2.37695E-05,0.001140935,7.13084E-05
Kyrgyzstan,KGZ,0.005514079,0,0.001548899,0.046079737,0.005080388
Laos,LAO,0.011827955,0.002273534,0.001380858,0.05650359,0.016054217
Latvia,LVA,0.001358538,0,0,0.128852109,0.028163539
Lebanon,LBN,0.005601171,0.001021047,0.000408419,0.015009389,0.005717862
Lesotho,LSO,1.326609786,0.313937025,0.206279964,10.61508977,2.724175362
Liberia,LBR,0.095070781,0.015311783,0.02096256,0.737659331,0.13539586
Libya,LBY,0.002847677,0.000295096,0.000295096,0.013751479,0.002685375
Lithuania,LTU,0,0,0,0.044450218,0.01896829
Luxembourg,LUX,0,0,0,0.016612876,0.005645152
Madagascar,MDG,0.015521349,0.001331143,0.002932964,0.091982345,0.018001946
Malawi,MWI,1.157651542,0.097204595,0.21546267,4.428826649,0.8932967
Malaysia,MYS,0.014059561,0.000841946,0.002964026,0.114435811,0.023718466
Maldives,MDV,0,0,0,0.000753357,0
Mali,MLI,0.086341338,0.011939146,0.015657729,0.470672966,0.114258692
Malta,MLT,0,0,0,0.009721026,0.003769378
Marshall Islands,MHL,0,0,0,0.061233862,0.011906584
Mauritania,MRT,0.000817553,0.00212122,8.83842E-05,0.015599804,0.006518332
Mauritius,MUS,0.000237021,0.000632056,0,0.076952796,0.021410891
Mexico,MEX,0.002752879,0.001040168,0.001634326,0.090674913,0.019511579
Micronesia (country),FSM,0.090500918,0.008786497,0.007907847,0.216147824,0.078199823
